Source: Spectrum Viewer
Chart: Pulse Spectrum
Series: 
Wavelength (nm)	S (a.u.)
600.52	435
600.548	444
600.576	441
600.604	434
600.632	441
600.66	446
600.688	436
600.716	460
600.744	446
600.772	434
600.8	419
600.828	445
600.856	448
600.884	426
600.912	421
600.94	464
600.968	426
600.996	429
601.024	431
601.052	441
601.08	426
601.108	449
601.136	440
601.164	452
601.192	448
601.22	431
601.248	450
601.276	443
601.304	419
601.332	444
601.36	447
601.388	446
601.416	422
601.444	434
601.472	426
601.5	433
601.528	446
601.556	427
601.584	439
601.612	423
601.64	421
601.668	446
601.696	441
601.724	449
601.752	451
601.78	461
601.808	419
601.836	438
601.864	440
601.892	437
601.92	454
601.948	445
601.976	431
602.004	423
602.032	433
602.06	430
602.088	451
602.116	427
602.144	441
602.171	465
602.199	436
602.227	442
602.255	415
602.283	431
602.311	457
602.339	437
602.367	441
602.395	448
602.423	431
602.451	443
602.479	441
602.507	442
602.535	423
602.563	416
602.591	462
602.619	436
602.647	465
602.675	438
602.703	443
602.731	445
602.759	426
602.786	445
602.814	429
602.842	451
602.87	429
602.898	429
602.926	439
602.954	413
602.982	445
603.01	452
603.038	436
603.066	438
603.094	428
603.122	442
603.15	449
603.178	452
603.206	433
603.234	457
603.261	441
603.289	460
603.317	449
603.345	455
603.373	437
603.401	430
603.429	438
603.457	438
603.485	447
603.513	427
603.541	433
603.569	433
603.597	447
603.624	440
603.652	445
603.68	462
603.708	451
603.736	454
603.764	452
603.792	441
603.82	449
603.848	438
603.876	421
603.904	439
603.932	413
603.959	443
603.987	448
604.015	434
604.043	433
604.071	441
604.099	460
604.127	443
604.155	456
604.183	439
604.211	445
604.239	436
604.266	453
604.294	449
604.322	433
604.35	441
604.378	440
604.406	439
604.434	453
604.462	434
604.49	440
604.518	451
604.545	445
604.573	443
604.601	439
604.629	441
604.657	423
604.685	449
604.713	446
604.741	443
604.769	429
604.796	431
604.824	450
604.852	472
604.88	433
604.908	433
604.936	447
604.964	427
604.992	439
605.02	429
605.047	424
605.075	452
605.103	441
605.131	441
605.159	442
605.187	433
605.215	442
605.243	424
605.27	454
605.298	467
605.326	409
605.354	440
605.382	445
605.41	465
605.438	409
605.466	433
605.493	435
605.521	452
605.549	418
605.577	424
605.605	445
605.633	455
605.661	435
605.688	441
605.716	447
605.744	431
605.772	422
605.8	442
605.828	422
605.856	449
605.883	443
605.911	437
605.939	447
605.967	422
605.995	442
606.023	440
606.051	424
606.078	454
606.106	439
606.134	433
606.162	436
606.19	421
606.218	451
606.246	450
606.273	440
606.301	433
606.329	449
606.357	453
606.385	437
606.413	435
606.44	447
606.468	440
606.496	442
606.524	449
606.552	429
606.58	443
606.607	421
606.635	432
