LECROYWR44Xi,19495,Waveform
Segments,1,SegmentSize,125002
Segment,TrigTime,TimeSinceSegment1
#1,15-Mar-2022 06:27:09,0                 
Time,Ampl
-0.0014200094,-11.5196
-0.0014199694,-11.5196
-0.0014199294,-10.8796
-0.0014198894,-11.5196
-0.0014198494,-11.1996
-0.0014198094,-11.1996
-0.0014197694,-11.5196
-0.0014197294,-11.1996
-0.0014196894,-11.5196
-0.0014196494,-11.8395
-0.0014196094,-11.5196
-0.0014195694,-11.1996
-0.0014195294,-11.5196
-0.0014194894,-11.1996
-0.0014194494,-11.8395
-0.0014194094,-11.5196
-0.0014193694,-11.5196
-0.0014193294,-11.5196
-0.0014192894,-11.8395
-0.0014192494,-11.1996
-0.0014192094,-11.1996
-0.0014191694,-11.5196
-0.0014191294,-11.1996
-0.0014190894,-10.8796
-0.0014190494,-11.5196
-0.0014190094,-11.1996
-0.0014189694,-11.8395
-0.0014189294,-11.8395
-0.0014188894,-11.1996
-0.0014188494,-11.5196
-0.0014188094,-11.5196
-0.0014187694,-11.5196
-0.0014187294,-11.1996
-0.0014186894,-11.8395
-0.0014186494,-11.5196
-0.0014186094,-11.5196
-0.0014185694,-11.5196
-0.0014185294,-11.1996
-0.0014184894,-11.1996
-0.0014184494,-11.5196
-0.0014184094,-11.5196
-0.0014183694,-11.5196
-0.0014183294,-11.5196
-0.0014182894,-11.5196
-0.0014182494,-11.5196
-0.0014182094,-11.5196
-0.0014181694,-11.1996
-0.0014181294,-11.5196
-0.0014180894,-11.5196
-0.0014180494,-11.1996
-0.0014180094,-11.5196
-0.0014179694,-11.8395
-0.0014179294,-11.5196
-0.0014178894,-11.5196
-0.0014178494,-11.5196
-0.0014178094,-11.1996
-0.0014177694,-11.5196
-0.0014177294,-11.5196
-0.0014176894,-10.8796
-0.0014176494,-10.8796
-0.0014176094,-11.5196
-0.0014175694,-11.1996
-0.0014175294,-11.5196
-0.0014174894,-11.5196
-0.0014174494,-11.5196
-0.0014174094,-11.5196
-0.0014173694,-11.5196
-0.0014173294,-11.5196
-0.0014172894,-11.1996
-0.0014172494,-11.8395
-0.0014172094,-11.1996
-0.0014171694,-11.1996
-0.0014171294,-11.5196
-0.0014170894,-11.1996
-0.0014170494,-11.1996
-0.0014170094,-11.8395
-0.0014169694,-11.1996
-0.0014169294,-11.5196
-0.0014168894,-11.8395
-0.0014168494,-11.5196
-0.0014168094,-11.5196
-0.0014167694,-12.1595
-0.0014167294,-11.1996
-0.0014166894,-11.1996
-0.0014166494,-11.5196
-0.0014166094,-11.8395
-0.0014165694,-11.5196
-0.0014165294,-11.5196
-0.0014164894,-10.8796
-0.0014164494,-11.5196
-0.0014164094,-11.5196
-0.0014163694,-11.5196
-0.0014163294,-11.5196
-0.0014162894,-11.5196
-0.0014162494,-11.5196
-0.0014162094,-11.5196
-0.0014161694,-11.8395
-0.0014161294,-11.1996
-0.0014160894,-11.1996
-0.0014160494,-11.5196
-0.0014160094,-11.8395
-0.0014159694,-11.1996
-0.0014159294,-11.5196
-0.0014158894,-11.5196
-0.0014158494,-11.5196
-0.0014158094,-11.8395
-0.0014157694,-11.1996
-0.0014157294,-11.1996
-0.0014156894,-11.8395
-0.0014156494,-10.8796
-0.0014156094,-11.1996
-0.0014155694,-11.8395
-0.0014155294,-11.1996
-0.0014154894,-11.5196
-0.0014154494,-11.5196
-0.0014154094,-11.1996
-0.0014153694,-11.1996
-0.0014153294,-11.8395
-0.0014152894,-11.5196
-0.0014152494,-11.5196
-0.0014152094,-11.8395
-0.0014151694,-11.1996
-0.0014151294,-11.1996
-0.0014150894,-11.8395
-0.0014150494,-11.5196
-0.0014150094,-11.1996
-0.0014149694,-11.5196
-0.0014149294,-11.5196
-0.0014148894,-11.8395
-0.0014148494,-11.1996
-0.0014148094,-11.1996
-0.0014147694,-11.5196
-0.0014147294,-11.5196
-0.0014146894,-11.5196
-0.0014146494,-11.5196
-0.0014146094,-11.5196
-0.0014145694,-11.1996
-0.0014145294,-11.1996
-0.0014144894,-11.5196
-0.0014144494,-11.5196
-0.0014144094,-11.5196
-0.0014143694,-11.5196
-0.0014143294,-11.5196
-0.0014142894,-11.5196
-0.0014142494,-11.5196
-0.0014142094,-11.5196
-0.0014141694,-11.1996
-0.0014141294,-11.5196
-0.0014140894,-11.5196
-0.0014140494,-11.5196
-0.0014140094,-11.8395
-0.0014139694,-11.1996
-0.0014139294,-11.5196
-0.0014138894,-11.8395
-0.0014138494,-11.5196
-0.0014138094,-11.5196
-0.0014137694,-11.8395
-0.0014137294,-11.5196
-0.0014136894,-11.1996
-0.0014136494,-11.5196
-0.0014136094,-11.1996
-0.0014135694,-11.5196
-0.0014135294,-11.8395
-0.0014134894,-10.8796
-0.0014134494,-11.1996
-0.0014134094,-11.8395
-0.0014133694,-11.1996
-0.0014133294,-11.1996
-0.0014132894,-11.8395
-0.0014132494,-11.5196
-0.0014132094,-11.5196
-0.0014131694,-11.5196
-0.0014131294,-11.1996
-0.0014130894,-11.1996
-0.0014130494,-11.5196
-0.0014130094,-11.5196
-0.0014129694,-11.1996
-0.0014129294,-11.5196
-0.0014128894,-11.1996
-0.0014128494,-11.1996
-0.0014128094,-11.8395
-0.0014127694,-11.1996
-0.0014127294,-11.5196
-0.0014126894,-11.5196
-0.0014126494,-11.5196
-0.0014126094,-11.1996
-0.0014125694,-11.5196
-0.0014125294,-11.5196
-0.0014124894,-11.5196
-0.0014124494,-11.5196
-0.0014124094,-11.1996
-0.0014123694,-11.5196
-0.0014123294,-11.5196
-0.0014122894,-11.5196
-0.0014122494,-11.5196
-0.0014122094,-11.5196
-0.0014121694,-11.5196
-0.0014121294,-11.5196
-0.0014120894,-11.5196
-0.0014120494,-11.5196
-0.0014120094,-11.8395
-0.0014119694,-11.5196
-0.0014119294,-10.8796
-0.0014118894,-11.1996
-0.0014118494,-12.1595
-0.0014118094,-11.1996
-0.0014117694,-11.5196
-0.0014117294,-11.5196
-0.0014116894,-11.5196
-0.0014116494,-11.8395
-0.0014116094,-11.5196
-0.0014115694,-11.1996
-0.0014115294,-11.1996
-0.0014114894,-11.8395
-0.0014114494,-11.5196
-0.0014114094,-11.1996
-0.0014113694,-11.8395
-0.0014113294,-11.1996
-0.0014112894,-11.5196
-0.0014112494,-11.8395
-0.0014112094,-11.1996
-0.0014111694,-11.1996
-0.0014111294,-11.5196
-0.0014110894,-11.5196
-0.0014110494,-11.5196
-0.0014110094,-11.5196
-0.0014109694,-11.5196
-0.0014109294,-11.5196
-0.0014108894,-11.5196
-0.0014108494,-11.5196
-0.0014108094,-11.5196
-0.0014107694,-11.8395
-0.0014107294,-11.5196
-0.0014106894,-11.5196
-0.0014106494,-11.5196
-0.0014106094,-11.5196
-0.0014105694,-11.5196
-0.0014105294,-11.5196
-0.0014104894,-11.1996
-0.0014104494,-11.1996
-0.0014104094,-11.5196
-0.0014103694,-11.1996
-0.0014103294,-11.1996
-0.0014102894,-11.8395
-0.0014102494,-11.5196
-0.0014102094,-11.5196
-0.0014101694,-12.1595
-0.0014101294,-11.1996
-0.0014100894,-11.5196
-0.0014100494,-12.1595
-0.0014100094,-11.5196
-0.0014099694,-11.5196
-0.0014099294,-11.8395
-0.0014098894,-11.8395
-0.0014098494,-11.8395
-0.0014098094,-11.8395
-0.0014097694,-11.5196
-0.0014097294,-11.8395
-0.0014096894,-11.5196
-0.0014096494,-11.5196
-0.0014096094,-11.5196
-0.0014095694,-11.5196
-0.0014095294,-11.5196
-0.0014094894,-11.5196
-0.0014094494,-11.8395
-0.0014094094,-11.1996
-0.0014093694,-11.1996
-0.0014093294,-11.5196
-0.0014092894,-11.5196
-0.0014092494,-11.5196
-0.0014092094,-11.8395
-0.0014091694,-11.1996
-0.0014091294,-11.1996
-0.0014090894,-11.8395
-0.0014090494,-11.5196
-0.0014090094,-11.1996
-0.0014089694,-11.5196
-0.0014089294,-11.1996
-0.0014088894,-11.5196
-0.0014088494,-11.8395
-0.0014088094,-11.5196
-0.0014087694,-11.5196
-0.0014087294,-11.8395
-0.0014086894,-11.1996
-0.0014086494,-11.5196
-0.0014086094,-11.8395
-0.0014085694,-11.1996
-0.0014085294,-11.1996
-0.0014084894,-11.5196
-0.0014084494,-11.1996
-0.0014084094,-11.5196
-0.0014083694,-11.5196
-0.0014083294,-11.5196
-0.0014082894,-11.1996
-0.0014082494,-11.8395
-0.0014082094,-11.5196
-0.0014081694,-11.5196
-0.0014081294,-11.8395
-0.0014080894,-11.1996
-0.0014080494,-11.5196
-0.0014080094,-11.5196
-0.0014079694,-11.5196
-0.0014079294,-11.5196
-0.0014078894,-11.8395
-0.0014078494,-11.5196
-0.0014078094,-11.8395
-0.0014077694,-11.5196
-0.0014077294,-11.8395
-0.0014076894,-11.5196
-0.0014076494,-11.8395
-0.0014076094,-11.5196
-0.0014075694,-11.8395
-0.0014075294,-11.5196
-0.0014074894,-11.5196
-0.0014074494,-11.8395
-0.0014074094,-11.8395
-0.0014073694,-11.5196
-0.0014073294,-11.5196
