LECROYWR44Xi,19495,Waveform
Segments,1,SegmentSize,125002
Segment,TrigTime,TimeSinceSegment1
#1,15-Mar-2022 06:37:48,0                 
Time,Ampl
-0.001420037,-11.5196
-0.001419997,-11.5196
-0.001419957,-11.5196
-0.001419917,-11.5196
-0.001419877,-11.1996
-0.001419837,-11.5196
-0.001419797,-12.1595
-0.001419757,-11.1996
-0.001419717,-11.1996
-0.001419677,-11.5196
-0.001419637,-11.1996
-0.001419597,-11.1996
-0.001419557,-11.5196
-0.001419517,-11.1996
-0.001419477,-11.1996
-0.001419437,-11.8395
-0.001419397,-11.5196
-0.001419357,-11.1996
-0.001419317,-11.5196
-0.001419277,-11.1996
-0.001419237,-11.5196
-0.001419197,-11.8395
-0.001419157,-11.5196
-0.001419117,-11.5196
-0.001419077,-11.8395
-0.001419037,-11.1996
-0.001418997,-11.1996
-0.001418957,-11.5196
-0.001418917,-11.5196
-0.001418877,-11.5196
-0.001418837,-11.1996
-0.001418797,-11.5196
-0.001418757,-11.1996
-0.001418717,-11.8395
-0.001418677,-11.1996
-0.001418637,-11.5196
-0.001418597,-11.5196
-0.001418557,-11.1996
-0.001418517,-11.5196
-0.001418477,-11.8395
-0.001418437,-11.1996
-0.001418397,-11.1996
-0.001418357,-11.8395
-0.001418317,-11.1996
-0.001418277,-11.1996
-0.001418237,-11.8395
-0.001418197,-11.1996
-0.001418157,-11.1996
-0.001418117,-11.5196
-0.001418077,-10.8796
-0.001418037,-11.5196
-0.001417997,-11.8395
-0.001417957,-11.5196
-0.001417917,-11.5196
-0.001417877,-11.8395
-0.001417837,-11.5196
-0.001417797,-11.1996
-0.001417757,-11.5196
-0.001417717,-11.1996
-0.001417677,-11.5196
-0.001417637,-11.1996
-0.001417597,-11.5196
-0.001417557,-11.5196
-0.001417517,-11.5196
-0.001417477,-11.5196
-0.001417437,-11.1996
-0.001417397,-11.5196
-0.001417357,-11.1996
-0.001417317,-11.5196
-0.001417277,-11.5196
-0.001417237,-11.5196
-0.001417197,-11.8395
-0.001417157,-11.8395
-0.001417117,-11.5196
-0.001417077,-11.5196
-0.001417037,-12.1595
-0.001416997,-11.8395
-0.001416957,-11.1996
-0.001416917,-11.5196
-0.001416877,-11.1996
-0.001416837,-11.5196
-0.001416797,-11.8395
-0.001416757,-11.5196
-0.001416717,-11.1996
-0.001416677,-11.5196
-0.001416637,-11.1996
-0.001416597,-11.5196
-0.001416557,-11.5196
-0.001416517,-11.5196
-0.001416477,-11.5196
-0.001416437,-11.5196
-0.001416397,-11.1996
-0.001416357,-11.5196
-0.001416317,-11.5196
-0.001416277,-11.1996
-0.001416237,-11.1996
-0.001416197,-11.8395
-0.001416157,-11.5196
-0.001416117,-11.1996
-0.001416077,-11.8395
-0.001416037,-11.1996
-0.001415997,-11.8395
-0.001415957,-11.8395
-0.001415917,-11.5196
-0.001415877,-11.8395
-0.001415837,-11.8395
-0.001415797,-11.1996
-0.001415757,-11.8395
-0.001415717,-11.5196
-0.001415677,-11.5196
-0.001415637,-11.5196
-0.001415597,-11.8395
-0.001415557,-11.5196
-0.001415517,-11.5196
-0.001415477,-11.8395
-0.001415437,-11.5196
-0.001415397,-11.8395
-0.001415357,-11.8395
-0.001415317,-11.1996
-0.001415277,-11.5196
-0.001415237,-11.8395
-0.001415197,-11.1996
-0.001415157,-11.5196
-0.001415117,-11.8395
-0.001415077,-11.1996
-0.001415037,-11.5196
-0.001414997,-11.8395
-0.001414957,-11.5196
-0.001414917,-11.5196
-0.001414877,-11.8395
-0.001414837,-11.5196
-0.001414797,-11.5196
-0.001414757,-11.5196
-0.001414717,-11.1996
-0.001414677,-11.5196
-0.001414637,-11.5196
-0.001414597,-11.1996
-0.001414557,-11.5196
-0.001414517,-11.5196
-0.001414477,-11.5196
-0.001414437,-11.8395
-0.001414397,-11.8395
-0.001414357,-11.1996
-0.001414317,-11.1996
-0.001414277,-11.5196
-0.001414237,-11.1996
-0.001414197,-11.5196
-0.001414157,-11.5196
-0.001414117,-11.5196
-0.001414077,-11.5196
-0.001414037,-11.8395
-0.001413997,-11.1996
-0.001413957,-11.5196
-0.001413917,-11.5196
-0.001413877,-11.5196
-0.001413837,-11.1996
-0.001413797,-11.8395
-0.001413757,-11.5196
-0.001413717,-11.5196
-0.001413677,-11.8395
-0.001413637,-11.1996
-0.001413597,-11.8395
-0.001413557,-11.5196
-0.001413517,-11.5196
-0.001413477,-11.5196
-0.001413437,-11.5196
-0.001413397,-11.5196
-0.001413357,-11.5196
-0.001413317,-11.8395
-0.001413277,-11.1996
-0.001413237,-11.5196
-0.001413197,-11.5196
-0.001413157,-11.1996
-0.001413117,-10.8796
-0.001413077,-11.8395
