LECROYWR44Xi,19495,Waveform
Segments,1,SegmentSize,125002
Segment,TrigTime,TimeSinceSegment1
#1,15-Mar-2022 06:20:55,0                 
Time,Ampl
-0.0014200015,-11.5196
-0.0014199615,-11.5196
-0.0014199215,-11.1996
-0.0014198815,-11.5196
-0.0014198415,-11.8395
-0.0014198015,-11.1996
-0.0014197615,-11.1996
-0.0014197215,-11.5196
-0.0014196815,-11.5196
-0.0014196415,-11.1996
-0.0014196015,-11.5196
-0.0014195615,-11.5196
-0.0014195215,-11.5196
-0.0014194815,-11.8395
-0.0014194415,-11.1996
-0.0014194015,-11.1996
-0.0014193615,-11.5196
-0.0014193215,-11.5196
-0.0014192815,-11.5196
-0.0014192415,-11.5196
-0.0014192015,-11.1996
-0.0014191615,-10.8796
-0.0014191215,-11.8395
-0.0014190815,-10.8796
-0.0014190415,-11.5196
-0.0014190015,-11.5196
-0.0014189615,-11.5196
-0.0014189215,-11.5196
-0.0014188815,-12.1595
-0.0014188415,-11.5196
-0.0014188015,-11.8395
-0.0014187615,-11.8395
-0.0014187215,-11.1996
-0.0014186815,-11.5196
-0.0014186415,-11.8395
-0.0014186015,-11.5196
-0.0014185615,-11.8395
-0.0014185215,-11.8395
-0.0014184815,-11.1996
-0.0014184415,-11.1996
-0.0014184015,-11.8395
-0.0014183615,-11.5196
-0.0014183215,-11.5196
-0.0014182815,-11.8395
-0.0014182415,-10.8796
-0.0014182015,-11.1996
-0.0014181615,-11.5196
-0.0014181215,-11.5196
-0.0014180815,-11.5196
-0.0014180415,-11.5196
-0.0014180015,-11.1996
-0.0014179615,-11.1996
-0.0014179215,-11.8395
-0.0014178815,-11.5196
-0.0014178415,-11.1996
-0.0014178015,-11.5196
-0.0014177615,-11.1996
-0.0014177215,-11.5196
-0.0014176815,-11.5196
-0.0014176415,-11.5196
-0.0014176015,-11.5196
-0.0014175615,-11.8395
-0.0014175215,-11.8395
-0.0014174815,-11.5196
-0.0014174415,-11.5196
-0.0014174015,-11.1996
-0.0014173615,-11.5196
-0.0014173215,-11.5196
-0.0014172815,-11.1996
-0.0014172415,-11.1996
-0.0014172015,-11.1996
-0.0014171615,-11.5196
-0.0014171215,-11.5196
-0.0014170815,-11.8395
