LECROYWR44Xi,19495,Waveform
Segments,1,SegmentSize,125002
Segment,TrigTime,TimeSinceSegment1
#1,15-Mar-2022 06:34:15,0                 
Time,Ampl
-0.0014200082,-11.8395
-0.0014199682,-11.5196
-0.0014199282,-11.5196
-0.0014198882,-11.5196
-0.0014198482,-11.1996
-0.0014198082,-11.1996
-0.0014197682,-11.1996
-0.0014197282,-11.5196
-0.0014196882,-11.5196
-0.0014196482,-11.8395
-0.0014196082,-11.5196
-0.0014195682,-11.5196
-0.0014195282,-11.5196
-0.0014194882,-11.1996
-0.0014194482,-11.1996
-0.0014194082,-11.5196
-0.0014193682,-11.1996
-0.0014193282,-11.5196
-0.0014192882,-11.8395
-0.0014192482,-11.1996
-0.0014192082,-11.1996
-0.0014191682,-11.5196
-0.0014191282,-11.5196
-0.0014190882,-11.1996
-0.0014190482,-11.8395
-0.0014190082,-11.1996
-0.0014189682,-11.5196
-0.0014189282,-11.5196
-0.0014188882,-11.5196
-0.0014188482,-11.5196
-0.0014188082,-11.5196
-0.0014187682,-11.1996
-0.0014187282,-11.1996
-0.0014186882,-11.8395
-0.0014186482,-11.1996
-0.0014186082,-11.5196
-0.0014185682,-11.1996
-0.0014185282,-11.1996
-0.0014184882,-11.1996
-0.0014184482,-11.8395
-0.0014184082,-11.1996
-0.0014183682,-11.1996
-0.0014183282,-11.8395
-0.0014182882,-11.1996
-0.0014182482,-11.5196
-0.0014182082,-11.5196
-0.0014181682,-11.1996
-0.0014181282,-11.1996
-0.0014180882,-11.8395
-0.0014180482,-11.1996
-0.0014180082,-11.5196
-0.0014179682,-11.1996
-0.0014179282,-11.5196
-0.0014178882,-11.1996
-0.0014178482,-11.5196
-0.0014178082,-11.1996
-0.0014177682,-11.1996
-0.0014177282,-11.8395
-0.0014176882,-11.5196
-0.0014176482,-11.5196
-0.0014176082,-11.8395
-0.0014175682,-11.5196
-0.0014175282,-11.1996
-0.0014174882,-11.5196
-0.0014174482,-11.1996
-0.0014174082,-11.5196
-0.0014173682,-11.8395
-0.0014173282,-11.1996
-0.0014172882,-11.1996
-0.0014172482,-11.5196
-0.0014172082,-11.1996
-0.0014171682,-11.8395
-0.0014171282,-11.5196
-0.0014170882,-11.5196
-0.0014170482,-11.5196
-0.0014170082,-11.8395
-0.0014169682,-11.5196
-0.0014169282,-11.1996
-0.0014168882,-11.5196
-0.0014168482,-11.5196
-0.0014168082,-11.5196
-0.0014167682,-11.5196
-0.0014167282,-11.1996
-0.0014166882,-11.5196
-0.0014166482,-11.8395
-0.0014166082,-11.1996
-0.0014165682,-11.1996
-0.0014165282,-11.5196
-0.0014164882,-11.1996
-0.0014164482,-11.1996
-0.0014164082,-11.5196
-0.0014163682,-11.1996
-0.0014163282,-11.5196
-0.0014162882,-11.5196
-0.0014162482,-11.1996
-0.0014162082,-11.5196
-0.0014161682,-11.8395
-0.0014161282,-11.1996
