LECROYWR44Xi,19495,Waveform
Segments,1,SegmentSize,125002
Segment,TrigTime,TimeSinceSegment1
#1,15-Mar-2022 06:30:15,0                 
Time,Ampl
-0.0014200191,-11.5196
-0.0014199791,-11.8395
-0.0014199391,-11.1996
-0.0014198991,-11.5196
-0.0014198591,-11.5196
-0.0014198191,-10.8796
-0.0014197791,-11.5196
-0.0014197391,-11.8395
-0.0014196991,-11.5196
-0.0014196591,-11.1996
-0.0014196191,-11.5196
-0.0014195791,-11.5196
-0.0014195391,-11.5196
-0.0014194991,-11.5196
-0.0014194591,-11.5196
-0.0014194191,-11.1996
-0.0014193791,-11.5196
-0.0014193391,-11.5196
-0.0014192991,-11.1996
-0.0014192591,-11.5196
-0.0014192191,-11.5196
-0.0014191791,-11.5196
-0.0014191391,-11.1996
-0.0014190991,-11.1996
-0.0014190591,-11.5196
-0.0014190191,-11.5196
-0.0014189791,-11.1996
-0.0014189391,-11.1996
-0.0014188991,-11.5196
-0.0014188591,-11.8395
-0.0014188191,-11.5196
-0.0014187791,-11.5196
-0.0014187391,-11.5196
-0.0014186991,-11.8395
-0.0014186591,-11.5196
-0.0014186191,-11.1996
-0.0014185791,-11.1996
-0.0014185391,-11.5196
-0.0014184991,-11.5196
-0.0014184591,-11.5196
-0.0014184191,-11.8395
-0.0014183791,-11.5196
-0.0014183391,-11.1996
-0.0014182991,-11.8395
-0.0014182591,-11.5196
-0.0014182191,-11.5196
-0.0014181791,-11.8395
-0.0014181391,-11.5196
-0.0014180991,-11.5196
-0.0014180591,-11.5196
-0.0014180191,-11.5196
-0.0014179791,-11.5196
-0.0014179391,-11.8395
-0.0014178991,-11.1996
-0.0014178591,-11.1996
-0.0014178191,-11.5196
-0.0014177791,-11.1996
-0.0014177391,-11.5196
-0.0014176991,-11.8395
-0.0014176591,-11.5196
-0.0014176191,-11.1996
-0.0014175791,-11.5196
-0.0014175391,-10.8796
-0.0014174991,-11.5196
-0.0014174591,-11.5196
-0.0014174191,-10.5596
-0.0014173791,-11.5196
-0.0014173391,-11.5196
-0.0014172991,-11.1996
-0.0014172591,-11.5196
-0.0014172191,-11.8395
-0.0014171791,-11.5196
-0.0014171391,-11.5196
-0.0014170991,-11.5196
-0.0014170591,-11.5196
-0.0014170191,-11.1996
-0.0014169791,-12.1595
-0.0014169391,-11.5196
-0.0014168991,-11.5196
-0.0014168591,-11.8395
-0.0014168191,-11.1996
-0.0014167791,-11.5196
-0.0014167391,-11.8395
-0.0014166991,-11.5196
-0.0014166591,-11.5196
-0.0014166191,-11.5196
-0.0014165791,-11.5196
-0.0014165391,-11.5196
-0.0014164991,-11.8395
-0.0014164591,-11.1996
-0.0014164191,-10.8796
-0.0014163791,-11.8395
-0.0014163391,-11.5196
-0.0014162991,-11.5196
-0.0014162591,-11.8395
-0.0014162191,-11.5196
-0.0014161791,-11.5196
-0.0014161391,-11.5196
-0.0014160991,-11.1996
-0.0014160591,-11.5196
-0.0014160191,-11.8395
-0.0014159791,-11.8395
-0.0014159391,-11.5196
-0.0014158991,-11.8395
-0.0014158591,-11.8395
-0.0014158191,-11.5196
-0.0014157791,-11.1996
-0.0014157391,-11.5196
-0.0014156991,-11.5196
-0.0014156591,-11.8395
-0.0014156191,-11.1996
-0.0014155791,-11.5196
-0.0014155391,-11.8395
-0.0014154991,-10.8796
-0.0014154591,-11.5196
-0.0014154191,-11.5196
-0.0014153791,-11.5196
-0.0014153391,-11.5196
-0.0014152991,-11.5196
-0.0014152591,-11.5196
-0.0014152191,-11.5196
-0.0014151791,-11.5196
-0.0014151391,-11.5196
-0.0014150991,-11.5196
-0.0014150591,-11.5196
-0.0014150191,-11.5196
-0.0014149791,-11.1996
-0.0014149391,-11.8395
-0.0014148991,-11.1996
-0.0014148591,-11.1996
-0.0014148191,-11.8395
-0.0014147791,-11.5196
-0.0014147391,-11.5196
-0.0014146991,-11.1996
-0.0014146591,-11.1996
-0.0014146191,-11.1996
-0.0014145791,-11.8395
-0.0014145391,-11.5196
-0.0014144991,-11.5196
-0.0014144591,-11.8395
-0.0014144191,-11.1996
-0.0014143791,-11.5196
-0.0014143391,-11.5196
-0.0014142991,-11.5196
-0.0014142591,-11.8395
-0.0014142191,-11.5196
-0.0014141791,-11.1996
-0.0014141391,-11.5196
-0.0014140991,-11.5196
-0.0014140591,-11.5196
-0.0014140191,-11.5196
-0.0014139791,-11.5196
-0.0014139391,-11.5196
-0.0014138991,-11.5196
-0.0014138591,-11.8395
-0.0014138191,-11.5196
-0.0014137791,-10.8796
-0.0014137391,-11.8395
-0.0014136991,-11.5196
-0.0014136591,-11.5196
