LECROYWR44Xi,19495,Waveform
Segments,1,SegmentSize,125002
Segment,TrigTime,TimeSinceSegment1
#1,15-Mar-2022 06:20:55,0                 
Time,Ampl
-0.0014200015,0.00568278
-0.0014199615,0.00824268
-0.0014199215,0.0076027
-0.0014198815,0.00632275
-0.0014198415,0.00568278
-0.0014198015,0.00632275
-0.0014197615,0.00824268
-0.0014197215,0.00632275
-0.0014196815,0.00952263
-0.0014196415,0.00696273
-0.0014196015,0.0050428
-0.0014195615,0.00632275
-0.0014195215,0.00568278
-0.0014194815,0.00568278
-0.0014194415,0.00824268
-0.0014194015,0.0076027
-0.0014193615,0.00696273
-0.0014193215,0.00888265
-0.0014192815,0.00632275
-0.0014192415,0.0076027
-0.0014192015,0.00632275
-0.0014191615,0.00632275
-0.0014191215,0.00632275
-0.0014190815,0.0076027
-0.0014190415,0.00696273
-0.0014190015,0.00568278
-0.0014189615,0.0076027
-0.0014189215,0.00632275
-0.0014188815,0.0076027
-0.0014188415,0.00824268
-0.0014188015,0.00888265
-0.0014187615,0.00696273
-0.0014187215,0.00696273
-0.0014186815,0.00696273
-0.0014186415,0.0076027
-0.0014186015,0.0076027
-0.0014185615,0.00696273
-0.0014185215,0.00696273
-0.0014184815,0.0108026
-0.0014184415,0.0076027
-0.0014184015,0.00632275
-0.0014183615,0.00824268
-0.0014183215,0.00696273
-0.0014182815,0.00696273
-0.0014182415,0.00824268
-0.0014182015,0.0076027
-0.0014181615,0.00632275
-0.0014181215,0.00696273
-0.0014180815,0.00632275
-0.0014180415,0.0101626
-0.0014180015,0.0076027
-0.0014179615,0.00696273
-0.0014179215,0.00696273
-0.0014178815,0.00824268
-0.0014178415,0.0076027
-0.0014178015,0.00824268
-0.0014177615,0.00696273
-0.0014177215,0.00824268
-0.0014176815,0.00952263
-0.0014176415,0.0076027
-0.0014176015,0.00696273
-0.0014175615,0.00568278
-0.0014175215,0.00952263
-0.0014174815,0.00632275
-0.0014174415,0.0076027
-0.0014174015,0.0076027
-0.0014173615,0.00632275
-0.0014173215,0.0050428
-0.0014172815,0.00824268
-0.0014172415,0.0076027
-0.0014172015,0.00568278
-0.0014171615,0.00888265
-0.0014171215,0.00888265
-0.0014170815,0.0108026
-0.0014170415,0.00568278
-0.0014170015,0.00952263
-0.0014169615,0.00824268
-0.0014169215,0.00696273
-0.0014168815,0.00632275
-0.0014168415,0.00632275
-0.0014168015,0.00632275
-0.0014167615,0.00824268
-0.0014167215,0.00696273
-0.0014166815,0.00888265
-0.0014166415,0.00888265
-0.0014166015,0.00824268
-0.0014165615,0.0076027
-0.0014165215,0.0076027
-0.0014164815,0.00632275
-0.0014164415,0.00824268
-0.0014164015,0.00632275
-0.0014163615,0.00696273
-0.0014163215,0.00824268
-0.0014162815,0.00632275
-0.0014162415,0.00952263
-0.0014162015,0.0076027
-0.0014161615,0.00888265
-0.0014161215,0.00696273
-0.0014160815,0.00824268
-0.0014160415,0.00568278
-0.0014160015,0.00696273
-0.0014159615,0.00824268
-0.0014159215,0.0076027
-0.0014158815,0.0076027
-0.0014158415,0.00824268
-0.0014158015,0.0076027
-0.0014157615,0.0076027
-0.0014157215,0.00888265
-0.0014156815,0.0076027
-0.0014156415,0.00632275
-0.0014156015,0.0076027
-0.0014155615,0.00696273
-0.0014155215,0.0076027
-0.0014154815,0.00888265
-0.0014154415,0.00888265
-0.0014154015,0.0076027
-0.0014153615,0.00824268
-0.0014153215,0.00824268
-0.0014152815,0.00824268
-0.0014152415,0.00824268
-0.0014152015,0.00696273
-0.0014151615,0.00696273
-0.0014151215,0.00824268
-0.0014150815,0.0050428
-0.0014150415,0.00952263
-0.0014150015,0.00888265
-0.0014149615,0.00632275
-0.0014149215,0.00632275
-0.0014148815,0.00696273
-0.0014148415,0.0076027
-0.0014148015,0.0050428
-0.0014147615,0.0101626
-0.0014147215,0.00696273
-0.0014146815,0.00632275
-0.0014146415,0.00824268
-0.0014146015,0.0076027
-0.0014145615,0.00632275
-0.0014145215,0.00888265
-0.0014144815,0.00696273
-0.0014144415,0.00632275
-0.0014144015,0.0076027
-0.0014143615,0.00568278
-0.0014143215,0.00696273
-0.0014142815,0.00888265
-0.0014142415,0.00696273
-0.0014142015,0.00696273
-0.0014141615,0.00824268
-0.0014141215,0.00632275
-0.0014140815,0.00632275
-0.0014140415,0.00696273
-0.0014140015,0.00568278
-0.0014139615,0.00632275
-0.0014139215,0.00888265
-0.0014138815,0.0076027
-0.0014138415,0.00632275
-0.0014138015,0.00824268
-0.0014137615,0.00888265
-0.0014137215,0.00696273
-0.0014136815,0.00632275
-0.0014136415,0.00696273
-0.0014136015,0.00696273
-0.0014135615,0.0076027
-0.0014135215,0.00632275
-0.0014134815,0.00696273
-0.0014134415,0.00696273
-0.0014134015,0.00696273
-0.0014133615,0.00632275
-0.0014133215,0.00824268
-0.0014132815,0.00696273
-0.0014132415,0.0076027
-0.0014132015,0.00824268
-0.0014131615,0.00632275
-0.0014131215,0.0076027
-0.0014130815,0.00824268
-0.0014130415,0.0076027
-0.0014130015,0.0076027
-0.0014129615,0.0076027
-0.0014129215,0.00696273
-0.0014128815,0.0076027
-0.0014128415,0.0076027
-0.0014128015,0.0076027
-0.0014127615,0.00696273
-0.0014127215,0.0076027
-0.0014126815,0.0076027
-0.0014126415,0.00824268
-0.0014126015,0.00568278
-0.0014125615,0.00824268
-0.0014125215,0.00824268
-0.0014124815,0.00696273
-0.0014124415,0.00568278
-0.0014124015,0.0076027
-0.0014123615,0.00696273
-0.0014123215,0.00632275
-0.0014122815,0.00696273
-0.0014122415,0.00568278
-0.0014122015,0.00824268
-0.0014121615,0.0076027
-0.0014121215,0.00888265
-0.0014120815,0.00632275
-0.0014120415,0.00632275
-0.0014120015,0.00824268
-0.0014119615,0.00632275
-0.0014119215,0.00696273
-0.0014118815,0.00824268
-0.0014118415,0.00824268
-0.0014118015,0.00696273
-0.0014117615,0.00824268
-0.0014117215,0.00632275
-0.0014116815,0.00632275
-0.0014116415,0.00696273
-0.0014116015,0.00696273
-0.0014115615,0.0076027
-0.0014115215,0.00696273
-0.0014114815,0.0076027
-0.0014114415,0.00696273
-0.0014114015,0.0076027
-0.0014113615,0.00696273
-0.0014113215,0.00632275
-0.0014112815,0.00696273
-0.0014112415,0.0076027
-0.0014112015,0.00696273
-0.0014111615,0.0076027
-0.0014111215,0.00568278
-0.0014110815,0.0076027
-0.0014110415,0.00696273
-0.0014110015,0.0076027
-0.0014109615,0.00568278
-0.0014109215,0.0076027
-0.0014108815,0.00632275
-0.0014108415,0.00696273
-0.0014108015,0.00696273
-0.0014107615,0.00632275
-0.0014107215,0.00568278
-0.0014106815,0.00568278
-0.0014106415,0.00888265
-0.0014106015,0.00632275
-0.0014105615,0.0101626
-0.0014105215,0.0101626
-0.0014104815,0.00632275
-0.0014104415,0.0076027
-0.0014104015,0.00824268
-0.0014103615,0.00568278
-0.0014103215,0.00888265
-0.0014102815,0.00632275
-0.0014102415,0.00696273
-0.0014102015,0.00824268
-0.0014101615,0.0076027
-0.0014101215,0.0076027
-0.0014100815,0.0076027
-0.0014100415,0.00632275
-0.0014100015,0.00888265
-0.0014099615,0.00632275
-0.0014099215,0.00888265
-0.0014098815,0.0076027
-0.0014098415,0.00888265
-0.0014098015,0.00824268
-0.0014097615,0.00568278
-0.0014097215,0.0076027
-0.0014096815,0.00632275
-0.0014096415,0.00824268
-0.0014096015,0.00824268
-0.0014095615,0.00696273
-0.0014095215,0.00632275
-0.0014094815,0.0076027
-0.0014094415,0.00632275
-0.0014094015,0.0076027
-0.0014093615,0.00888265
-0.0014093215,0.00952263
-0.0014092815,0.00568278
-0.0014092415,0.00696273
-0.0014092015,0.00888265
-0.0014091615,0.0076027
-0.0014091215,0.0076027
-0.0014090815,0.00824268
-0.0014090415,0.0076027
-0.0014090015,0.00888265
-0.0014089615,0.00696273
-0.0014089215,0.00632275
-0.0014088815,0.00824268
-0.0014088415,0.00888265
-0.0014088015,0.00696273
-0.0014087615,0.0076027
-0.0014087215,0.00632275
-0.0014086815,0.00696273
-0.0014086415,0.0076027
-0.0014086015,0.0076027
-0.0014085615,0.00632275
-0.0014085215,0.0076027
-0.0014084815,0.00696273
