LECROYWR44Xi,19495,Waveform
Segments,1,SegmentSize,125002
Segment,TrigTime,TimeSinceSegment1
#1,15-Mar-2022 06:34:15,0                 
Time,Ampl
-0.0014200082,0.00824268
-0.0014199682,0.00952263
-0.0014199282,0.0076027
-0.0014198882,0.00888265
-0.0014198482,0.00696273
-0.0014198082,0.00696273
-0.0014197682,0.00696273
-0.0014197282,0.00824268
-0.0014196882,0.00824268
-0.0014196482,0.00696273
-0.0014196082,0.00888265
-0.0014195682,0.00632275
-0.0014195282,0.00632275
-0.0014194882,0.0076027
-0.0014194482,0.00632275
-0.0014194082,0.00568278
-0.0014193682,0.00632275
-0.0014193282,0.00568278
-0.0014192882,0.00696273
-0.0014192482,0.00632275
-0.0014192082,0.0076027
-0.0014191682,0.00696273
-0.0014191282,0.00696273
-0.0014190882,0.00568278
-0.0014190482,0.00696273
-0.0014190082,0.00824268
-0.0014189682,0.00632275
-0.0014189282,0.00632275
-0.0014188882,0.0076027
-0.0014188482,0.00824268
-0.0014188082,0.00696273
-0.0014187682,0.00696273
-0.0014187282,0.00696273
-0.0014186882,0.00568278
-0.0014186482,0.00824268
-0.0014186082,0.00888265
-0.0014185682,0.0076027
-0.0014185282,0.00696273
-0.0014184882,0.0076027
-0.0014184482,0.00632275
-0.0014184082,0.00888265
-0.0014183682,0.00632275
-0.0014183282,0.00824268
-0.0014182882,0.0076027
-0.0014182482,0.0076027
-0.0014182082,0.00824268
-0.0014181682,0.0076027
-0.0014181282,0.00888265
-0.0014180882,0.00888265
-0.0014180482,0.00888265
-0.0014180082,0.00568278
-0.0014179682,0.00632275
-0.0014179282,0.00824268
-0.0014178882,0.00696273
-0.0014178482,0.00696273
-0.0014178082,0.00888265
-0.0014177682,0.00824268
-0.0014177282,0.00696273
-0.0014176882,0.00824268
-0.0014176482,0.00632275
-0.0014176082,0.00632275
-0.0014175682,0.00824268
-0.0014175282,0.0076027
-0.0014174882,0.00696273
-0.0014174482,0.00696273
-0.0014174082,0.00632275
-0.0014173682,0.00888265
-0.0014173282,0.00952263
-0.0014172882,0.0076027
-0.0014172482,0.00568278
-0.0014172082,0.00568278
-0.0014171682,0.00888265
-0.0014171282,0.0076027
-0.0014170882,0.00696273
-0.0014170482,0.00696273
-0.0014170082,0.0076027
-0.0014169682,0.0076027
-0.0014169282,0.0076027
-0.0014168882,0.00696273
-0.0014168482,0.0108026
-0.0014168082,0.0076027
-0.0014167682,0.00632275
-0.0014167282,0.00568278
-0.0014166882,0.00632275
-0.0014166482,0.0076027
-0.0014166082,0.0076027
-0.0014165682,0.00632275
-0.0014165282,0.00824268
-0.0014164882,0.00696273
-0.0014164482,0.0050428
-0.0014164082,0.00568278
-0.0014163682,0.0076027
-0.0014163282,0.00696273
-0.0014162882,0.00632275
-0.0014162482,0.00824268
-0.0014162082,0.00696273
-0.0014161682,0.00568278
-0.0014161282,0.0076027
-0.0014160882,0.00824268
-0.0014160482,0.00568278
-0.0014160082,0.0076027
-0.0014159682,0.00440283
-0.0014159282,0.00568278
-0.0014158882,0.00696273
-0.0014158482,0.0076027
-0.0014158082,0.0076027
-0.0014157682,0.00888265
-0.0014157282,0.0101626
-0.0014156882,0.0108026
-0.0014156482,0.00696273
-0.0014156082,0.00568278
-0.0014155682,0.00632275
-0.0014155282,0.00824268
-0.0014154882,0.00696273
-0.0014154482,0.0050428
-0.0014154082,0.0076027
-0.0014153682,0.00696273
-0.0014153282,0.00568278
-0.0014152882,0.0076027
-0.0014152482,0.00632275
-0.0014152082,0.0076027
-0.0014151682,0.00696273
-0.0014151282,0.0076027
-0.0014150882,0.00888265
-0.0014150482,0.00568278
-0.0014150082,0.00696273
-0.0014149682,0.00632275
-0.0014149282,0.00824268
-0.0014148882,0.00696273
-0.0014148482,0.00632275
-0.0014148082,0.00632275
-0.0014147682,0.00632275
-0.0014147282,0.0076027
-0.0014146882,0.0076027
-0.0014146482,0.00696273
-0.0014146082,0.00696273
-0.0014145682,0.00824268
-0.0014145282,0.00696273
-0.0014144882,0.0076027
-0.0014144482,0.0076027
-0.0014144082,0.00824268
-0.0014143682,0.00632275
