LECROYWR44Xi,19495,Waveform
Segments,1,SegmentSize,125002
Segment,TrigTime,TimeSinceSegment1
#1,15-Mar-2022 06:30:15,0                 
Time,Ampl
-0.0014200191,0.00824268
-0.0014199791,0.0076027
-0.0014199391,0.00824268
-0.0014198991,0.00696273
-0.0014198591,0.0076027
-0.0014198191,0.00888265
-0.0014197791,0.00824268
-0.0014197391,0.00632275
-0.0014196991,0.00568278
-0.0014196591,0.00696273
-0.0014196191,0.00824268
-0.0014195791,0.00952263
-0.0014195391,0.0076027
-0.0014194991,0.00888265
-0.0014194591,0.00824268
-0.0014194191,0.00696273
-0.0014193791,0.00888265
-0.0014193391,0.00824268
-0.0014192991,0.00632275
-0.0014192591,0.00952263
-0.0014192191,0.00888265
-0.0014191791,0.00696273
-0.0014191391,0.00888265
-0.0014190991,0.00888265
-0.0014190591,0.0076027
-0.0014190191,0.00696273
-0.0014189791,0.00888265
-0.0014189391,0.00888265
-0.0014188991,0.00824268
-0.0014188591,0.0076027
-0.0014188191,0.00824268
-0.0014187791,0.00696273
-0.0014187391,0.00888265
-0.0014186991,0.0076027
-0.0014186591,0.00632275
-0.0014186191,0.00824268
-0.0014185791,0.00632275
-0.0014185391,0.00888265
-0.0014184991,0.00888265
-0.0014184591,0.00824268
-0.0014184191,0.00824268
-0.0014183791,0.00824268
-0.0014183391,0.00824268
-0.0014182991,0.00568278
-0.0014182591,0.00568278
-0.0014182191,0.00568278
-0.0014181791,0.00696273
-0.0014181391,0.00824268
-0.0014180991,0.00824268
-0.0014180591,0.00888265
-0.0014180191,0.00696273
-0.0014179791,0.00696273
-0.0014179391,0.0076027
-0.0014178991,0.00568278
-0.0014178591,0.00888265
-0.0014178191,0.00888265
-0.0014177791,0.0108026
-0.0014177391,0.00824268
-0.0014176991,0.0076027
-0.0014176591,0.0076027
-0.0014176191,0.00696273
-0.0014175791,0.0101626
-0.0014175391,0.00632275
-0.0014174991,0.0076027
-0.0014174591,0.00696273
-0.0014174191,0.00824268
-0.0014173791,0.0076027
-0.0014173391,0.0050428
-0.0014172991,0.00824268
-0.0014172591,0.00824268
-0.0014172191,0.00632275
-0.0014171791,0.00952263
-0.0014171391,0.00632275
-0.0014170991,0.00696273
-0.0014170591,0.0076027
-0.0014170191,0.00888265
-0.0014169791,0.00824268
-0.0014169391,0.00696273
-0.0014168991,0.00632275
-0.0014168591,0.0076027
-0.0014168191,0.0076027
-0.0014167791,0.00632275
-0.0014167391,0.00696273
-0.0014166991,0.00824268
-0.0014166591,0.00632275
-0.0014166191,0.00696273
-0.0014165791,0.00696273
-0.0014165391,0.00568278
-0.0014164991,0.0108026
-0.0014164591,0.00824268
-0.0014164191,0.0076027
-0.0014163791,0.00888265
-0.0014163391,0.00632275
-0.0014162991,0.00696273
-0.0014162591,0.0076027
-0.0014162191,0.00824268
-0.0014161791,0.00696273
-0.0014161391,0.0076027
-0.0014160991,0.00824268
-0.0014160591,0.00952263
-0.0014160191,0.00696273
-0.0014159791,0.00440283
-0.0014159391,0.00696273
-0.0014158991,0.00696273
-0.0014158591,0.00888265
-0.0014158191,0.00632275
-0.0014157791,0.00696273
-0.0014157391,0.00888265
-0.0014156991,0.00696273
-0.0014156591,0.00632275
-0.0014156191,0.0076027
-0.0014155791,0.00824268
-0.0014155391,0.00952263
-0.0014154991,0.00888265
-0.0014154591,0.00696273
-0.0014154191,0.00632275
-0.0014153791,0.0076027
-0.0014153391,0.0076027
-0.0014152991,0.00952263
-0.0014152591,0.00632275
-0.0014152191,0.00696273
-0.0014151791,0.00696273
-0.0014151391,0.00696273
-0.0014150991,0.0076027
-0.0014150591,0.00696273
-0.0014150191,0.00824268
-0.0014149791,0.00824268
-0.0014149391,0.00632275
-0.0014148991,0.00888265
-0.0014148591,0.00696273
-0.0014148191,0.00632275
-0.0014147791,0.0076027
-0.0014147391,0.0076027
